positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
数据挖掘工程师（外派商汤科技）,微创软件,13k-18k,2019-12-09 17:14:36,124652,上海微创软件股份有限公司,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",不需要融资,"['MySQL', 'Hadoop', 'Spark', '数据挖掘']","['MySQL', 'Hadoop', 'Spark', '数据挖掘']",本科,徐汇区,3-5年
数据挖掘专家,途虎养车网,30k-45k,2019-12-09 13:05:57,36009,上海阑途信息技术有限公司,"['技能培训', '节日礼物', '岗位晋升', '领导好']",D轮及以上,"['算法', '数据挖掘']","['算法', '数据挖掘']",本科,闵行区,3-5年
数据挖掘工程师,华策,15k-30k,2019-12-09 16:03:12,200377,深圳华策辉弘科技有限公司,"['绩效奖金', '年终分红', '带薪年假', '五险一金']",未融资,"['数据挖掘', '数据分析']","['数据挖掘', '数据分析']",本科,浦东新区,1-3年
数据挖掘工程师,奉天物流,14k-24k,2019-12-09 15:05:13,117448735,常州奉天物流有限公司,[],不需要融资,"['数据挖掘', 'Spark']","['数据挖掘', 'Spark']",本科,浦东新区,1-3年
数据挖掘专家,微创软件,30k-40k,2019-12-09 10:53:54,124652,上海微创软件股份有限公司,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",不需要融资,"['汽车', '移动互联网', '数据库开发', 'SQLServer', '数据仓库', '数据挖掘']","['数据库开发', 'SQLServer', '数据仓库', '数据挖掘']",本科,浦东新区,5-10年
数据挖掘实习生,百度,3k-4k,2019-12-09 16:59:51,1575,百度在线网络技术（北京）有限公司,"['股票期权', '弹性工作', '五险一金', '免费班车']",不需要融资,"['Hadoop', '数据架构', '数据挖掘', '算法']","['Hadoop', '数据架构', '数据挖掘', '算法']",本科,浦东新区,应届毕业生
数据挖掘工程师,仁辉科技,13k-20k,2019-12-09 14:06:38,213202,银川仁辉信息科技有限公司,"['交通补助', '午餐补助', '五险一金', '节日福利']",不需要融资,"['征信', '算法', '数据挖掘', '数据分析']","['算法', '数据挖掘', '数据分析']",本科,浦东新区,1-3年
数据挖掘专家,趣头条,35k-55k,2019-12-09 10:37:04,202104,上海基分文化传播有限公司,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",上市公司,"['电商', '算法', '数据挖掘']","['算法', '数据挖掘']",本科,浦东新区,5-10年
数据挖掘算法,趣头条,25k-35k,2019-12-09 10:37:03,202104,上海基分文化传播有限公司,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",上市公司,"['算法', 'Spark', '数据挖掘']","['算法', 'Spark', '数据挖掘']",本科,浦东新区,1-3年
中级算法工程师,NextTao 互道信息,20k-30k,2019-12-09 17:10:56,56474,互道信息技术（上海）有限公司,"['节日礼物', '技能培训', '年底双薪', '年度旅游']",B轮,"['推荐', '机器学习', '建模']","['推荐', '机器学习', '建模']",本科,浦东新区,1-3年
数据挖掘工程师,宜家,20k-40k,2019-12-09 09:50:36,560057,宜家（中国）投资有限公司,"['年底双薪', '带薪年假', '定期体检', '弹性工作']",不需要融资,"['电商', '新零售', '数据挖掘', '算法', 'NLP']","['数据挖掘', '算法', 'NLP']",本科,徐汇区,3-5年
初级算法工程师,NextTao 互道信息,15k-30k,2019-12-09 17:10:55,56474,互道信息技术（上海）有限公司,"['节日礼物', '技能培训', '年底双薪', '年度旅游']",B轮,"['推荐', '建模', '机器学习']","['推荐', '建模', '机器学习']",本科,浦东新区,1-3年
数据挖掘工程师,虎扑,15k-25k,2019-12-09 11:50:11,1145,虎扑（上海）文化传播股份有限公司,"['上班看球赛', '运动俱乐部', '大神分享会', '偶像零距离']",D轮及以上,"['数据挖掘', '数据分析']","['数据挖掘', '数据分析']",本科,杨浦区,1-3年
positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
高级推荐算法工程师,彩贝壳,20k-40k,2019-12-09 18:09:44,69466,上海绘享网络科技有限公司,"['股票期权', '扁平管理', '五险一金', '8天年假']",B轮,['算法'],['算法'],本科,长宁区,3-5年
数据挖掘工程师,上海初生网络科技有限公司,12k-24k,2019-12-09 11:27:04,40729,上海初生网络科技有限公司,"['带薪年假', '年度旅游', '扁平管理', '五险一金']",B轮,"['大数据', 'ETL', '数据挖掘', '数据分析']","['ETL', '数据挖掘', '数据分析']",本科,黄浦区,1-3年
数据挖掘（开发工程师）,易居克而瑞,10k-15k,2019-12-09 14:20:13,9553,易居企业（中国）集团有限公司,"['年底双薪', '节日礼物', '带薪年假', '月度绩效奖金']",上市公司,['数据挖掘'],['数据挖掘'],本科,闸北区,1-3年
数据挖掘工程师,上海纯米电子科技,10k-20k,2019-12-09 10:52:56,151142,上海纯米电子科技有限公司,[],C轮,['数据挖掘'],['数据挖掘'],大专,浦东新区,1-3年
数据挖掘工程师,同程艺龙,25k-50k,2019-12-09 10:30:22,3564,同程网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '五险一金']",上市公司,"['数据挖掘', 'Hive', 'Hadoop']","['数据挖掘', 'Hive', 'Hadoop']",本科,普陀区,3-5年
点评App部-机器学习/数据挖掘算法专家,美团点评,35k-48k,2019-12-09 10:05:20,50702,北京三快在线科技有限公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",上市公司,['算法'],[],本科,长宁区,3-5年
